Region	Start	End	Property Type	Bedrooms	Median Asking Rent	Median Asking Rent MoM	Median Asking Rent YoY	size
Philadelphia, PA	Jan-20	Mar-20	Multi-Family (25+ Units)	All	$1,555 	2.70%		1
Philadelphia, PA	Feb-20	Apr-20	Multi-Family (25+ Units)	All	$1,565 	0.60%		1
Philadelphia, PA	Mar-20	May-20	Multi-Family (25+ Units)	All	$1,558 	-0.40%	-5.20%	1
Philadelphia, PA	Apr-20	Jun-20	Multi-Family (25+ Units)	All	$1,560 	0.10%	-2.20%	1
Philadelphia, PA	May-20	Jul-20	Multi-Family (25+ Units)	All	$1,580 	1.30%	0.60%	1
Philadelphia, PA	Jun-20	Aug-20	Multi-Family (25+ Units)	All	$1,585 	0.30%	5.30%	1
Philadelphia, PA	Jul-20	Sep-20	Multi-Family (25+ Units)	All	$1,585 	0.00%	6.00%	1
Philadelphia, PA	Aug-20	Oct-20	Multi-Family (25+ Units)	All	$1,575 	-0.60%	5.50%	1
Philadelphia, PA	Sep-20	Nov-20	Multi-Family (25+ Units)	All	$1,590 	1.00%	6.10%	1
Philadelphia, PA	Oct-20	Dec-20	Multi-Family (25+ Units)	All	$1,580 	-0.60%	6.00%	1
Philadelphia, PA	Nov-20	Jan-21	Multi-Family (25+ Units)	All	$1,600 	1.30%	7.70%	1
Philadelphia, PA	Dec-20	Feb-21	Multi-Family (25+ Units)	All	$1,610 	0.60%	6.30%	1
Philadelphia, PA	Jan-21	Mar-21	Multi-Family (25+ Units)	All	$1,660 	3.10%	6.80%	1
Philadelphia, PA	Feb-21	Apr-21	Multi-Family (25+ Units)	All	$1,700 	2.40%	8.60%	1
Philadelphia, PA	Mar-21	May-21	Multi-Family (25+ Units)	All	$1,728 	1.60%	10.90%	1
Philadelphia, PA	Apr-21	Jun-21	Multi-Family (25+ Units)	All	$1,750 	1.30%	12.20%	1
Philadelphia, PA	May-21	Jul-21	Multi-Family (25+ Units)	All	$1,772 	1.30%	12.20%	1
Philadelphia, PA	Jun-21	Aug-21	Multi-Family (25+ Units)	All	$1,795 	1.30%	13.20%	1
Philadelphia, PA	Jul-21	Sep-21	Multi-Family (25+ Units)	All	$1,795 	0.00%	13.20%	1
Philadelphia, PA	Aug-21	Oct-21	Multi-Family (25+ Units)	All	$1,790 	-0.30%	13.70%	1
Philadelphia, PA	Sep-21	Nov-21	Multi-Family (25+ Units)	All	$1,780 	-0.60%	11.90%	1
Philadelphia, PA	Oct-21	Dec-21	Multi-Family (25+ Units)	All	$1,795 	0.80%	13.60%	1
Philadelphia, PA	Nov-21	Jan-22	Multi-Family (25+ Units)	All	$1,848 	3.00%	15.50%	1
Philadelphia, PA	Dec-21	Feb-22	Multi-Family (25+ Units)	All	$1,855 	0.40%	15.20%	1
Philadelphia, PA	Jan-22	Mar-22	Multi-Family (25+ Units)	All	$1,870 	0.80%	12.70%	1
Philadelphia, PA	Feb-22	Apr-22	Multi-Family (25+ Units)	All	$1,890 	1.10%	11.20%	1
Philadelphia, PA	Mar-22	May-22	Multi-Family (25+ Units)	All	$1,940 	2.60%	12.30%	1
Philadelphia, PA	Apr-22	Jun-22	Multi-Family (25+ Units)	All	$1,994 	2.80%	13.90%	1
Philadelphia, PA	May-22	Jul-22	Multi-Family (25+ Units)	All	$1,967 	-1.40%	11.00%	1
Philadelphia, PA	Jun-22	Aug-22	Multi-Family (25+ Units)	All	$1,935 	-1.60%	7.80%	1
Philadelphia, PA	Jul-22	Sep-22	Multi-Family (25+ Units)	All	$1,899 	-1.90%	5.80%	1
Philadelphia, PA	Aug-22	Oct-22	Multi-Family (25+ Units)	All	$1,870 	-1.50%	4.50%	1
Philadelphia, PA	Sep-22	Nov-22	Multi-Family (25+ Units)	All	$1,856 	-0.70%	4.30%	1
Philadelphia, PA	Oct-22	Dec-22	Multi-Family (25+ Units)	All	$1,851 	-0.30%	3.10%	1
Philadelphia, PA	Nov-22	Jan-23	Multi-Family (25+ Units)	All	$1,861 	0.50%	0.70%	1
Philadelphia, PA	Dec-22	Feb-23	Multi-Family (25+ Units)	All	$1,875 	0.80%	1.10%	1
Philadelphia, PA	Jan-23	Mar-23	Multi-Family (25+ Units)	All	$1,900 	1.30%	1.60%	1
Philadelphia, PA	Feb-23	Apr-23	Multi-Family (25+ Units)	All	$1,930 	1.60%	2.10%	1
Philadelphia, PA	Mar-23	May-23	Multi-Family (25+ Units)	All	$1,932 	0.10%	-0.40%	1
Philadelphia, PA	Apr-23	Jun-23	Multi-Family (25+ Units)	All	$1,910 	-1.20%	-4.20%	1
Philadelphia, PA	May-23	Jul-23	Multi-Family (25+ Units)	All	$1,915 	0.30%	-2.60%	1
Philadelphia, PA	Jun-23	Aug-23	Multi-Family (25+ Units)	All	$1,910 	-0.30%	-1.30%	1
Philadelphia, PA	Jul-23	Sep-23	Multi-Family (25+ Units)	All	$1,895 	-0.80%	-0.20%	1
Philadelphia, PA	Aug-23	Oct-23	Multi-Family (25+ Units)	All	$1,850 	-2.40%	-1.10%	1
Philadelphia, PA	Sep-23	Nov-23	Multi-Family (25+ Units)	All	$1,828 	-1.20%	-1.50%	1
Philadelphia, PA	Oct-23	Dec-23	Multi-Family (25+ Units)	All	$1,825 	-0.20%	-1.40%	1
Philadelphia, PA	Nov-23	Jan-24	Multi-Family (25+ Units)	All	$1,815 	-0.60%	-2.50%	1
Philadelphia, PA	Dec-23	Feb-24	Multi-Family (25+ Units)	All	$1,805 	-0.50%	-3.70%	1
Philadelphia, PA	Jan-24	Mar-24	Multi-Family (25+ Units)	All	$1,821 	0.90%	-4.20%	1
Philadelphia, PA	Feb-24	Apr-24	Multi-Family (25+ Units)	All	$1,882 	3.30%	-2.50%	1
Philadelphia, PA	Mar-24	May-24	Multi-Family (25+ Units)	All	$1,900 	1.00%	-1.70%	1
Philadelphia, PA	Apr-24	Jun-24	Multi-Family (25+ Units)	All	$1,905 	0.30%	-0.20%	1
Philadelphia, PA	May-24	Jul-24	Multi-Family (25+ Units)	All	$1,875 	-1.60%	-2.10%	1
Philadelphia, PA	Jun-24	Aug-24	Multi-Family (25+ Units)	All	$1,850 	-1.30%	-3.10%	1
Philadelphia, PA	Jul-24	Sep-24	Multi-Family (25+ Units)	All	$1,843 	-0.40%	-2.70%	1
Philadelphia, PA	Aug-24	Oct-24	Multi-Family (25+ Units)	All	$1,824 	-1.00%	-1.40%	1
Philadelphia, PA	Sep-24	Nov-24	Multi-Family (25+ Units)	All	$1,832 	0.40%	0.20%	1
Philadelphia, PA	Oct-24	Dec-24	Multi-Family (25+ Units)	All	$1,825 	-0.40%	0.00%	1
Philadelphia, PA	Nov-24	Jan-25	Multi-Family (25+ Units)	All	$1,866 	2.20%	2.80%	1
Philadelphia, PA	Dec-24	Feb-25	Multi-Family (25+ Units)	All	$1,872 	0.30%	3.70%	1
Philadelphia, PA	Jan-25	Mar-25	Multi-Family (25+ Units)	All	$1,900 	1.50%	4.30%	1
Philadelphia, PA	Feb-25	Apr-25	Multi-Family (25+ Units)	All	$1,921 	1.10%	2.10%	1
Philadelphia, PA	Mar-25	May-25	Multi-Family (25+ Units)	All	$1,980 	3.10%	4.20%	1
Philadelphia, PA	Apr-25	Jun-25	Multi-Family (25+ Units)	All	$1,995 	0.80%	4.70%	1
Philadelphia, PA	May-25	Jul-25	Multi-Family (25+ Units)	All	$2,011 	0.80%	7.30%	1
Philadelphia, PA	Jun-25	Aug-25	Multi-Family (25+ Units)	All	$2,034 	1.10%	9.90%	1
Phoenix, AZ	Mar-19	May-19	Multi-Family (25+ Units)	All	$1,388 			1
Phoenix, AZ	Apr-19	Jun-19	Multi-Family (25+ Units)	All	$1,338 	-3.60%		1
Phoenix, AZ	May-19	Jul-19	Multi-Family (25+ Units)	All	$1,325 	-1.00%		1
Phoenix, AZ	Jun-19	Aug-19	Multi-Family (25+ Units)	All	$1,281 	-3.30%		1
Phoenix, AZ	Jul-19	Sep-19	Multi-Family (25+ Units)	All	$1,295 	1.10%		1
Phoenix, AZ	Aug-19	Oct-19	Multi-Family (25+ Units)	All	$1,293 	-0.20%		1
Phoenix, AZ	Sep-19	Nov-19	Multi-Family (25+ Units)	All	$1,304 	0.90%		1
Phoenix, AZ	Oct-19	Dec-19	Multi-Family (25+ Units)	All	$1,295 	-0.70%		1
Phoenix, AZ	Nov-19	Jan-20	Multi-Family (25+ Units)	All	$1,300 	0.40%		1
Phoenix, AZ	Dec-19	Feb-20	Multi-Family (25+ Units)	All	$1,301 	0.10%		1
Phoenix, AZ	Jan-20	Mar-20	Multi-Family (25+ Units)	All	$1,295 	-0.50%		1
Phoenix, AZ	Feb-20	Apr-20	Multi-Family (25+ Units)	All	$1,277 	-1.40%		1
Phoenix, AZ	Mar-20	May-20	Multi-Family (25+ Units)	All	$1,270 	-0.50%	-8.50%	1
Phoenix, AZ	Apr-20	Jun-20	Multi-Family (25+ Units)	All	$1,280 	0.80%	-4.30%	1
Phoenix, AZ	May-20	Jul-20	Multi-Family (25+ Units)	All	$1,300 	1.50%	-1.90%	1
Phoenix, AZ	Jun-20	Aug-20	Multi-Family (25+ Units)	All	$1,325 	2.00%	3.40%	1
Phoenix, AZ	Jul-20	Sep-20	Multi-Family (25+ Units)	All	$1,334 	0.70%	3.00%	1
Phoenix, AZ	Aug-20	Oct-20	Multi-Family (25+ Units)	All	$1,350 	1.20%	4.40%	1
Phoenix, AZ	Sep-20	Nov-20	Multi-Family (25+ Units)	All	$1,350 	0.00%	3.50%	1
Phoenix, AZ	Oct-20	Dec-20	Multi-Family (25+ Units)	All	$1,360 	0.70%	5.00%	1
Phoenix, AZ	Nov-20	Jan-21	Multi-Family (25+ Units)	All	$1,360 	0.00%	4.60%	1
Phoenix, AZ	Dec-20	Feb-21	Multi-Family (25+ Units)	All	$1,371 	0.80%	5.40%	1
Phoenix, AZ	Jan-21	Mar-21	Multi-Family (25+ Units)	All	$1,399 	2.00%	8.00%	1
Phoenix, AZ	Feb-21	Apr-21	Multi-Family (25+ Units)	All	$1,439 	2.90%	12.70%	1
Phoenix, AZ	Mar-21	May-21	Multi-Family (25+ Units)	All	$1,490 	3.50%	17.30%	1
Phoenix, AZ	Apr-21	Jun-21	Multi-Family (25+ Units)	All	$1,555 	4.40%	21.50%	1
Phoenix, AZ	May-21	Jul-21	Multi-Family (25+ Units)	All	$1,619 	4.10%	24.60%	1
Phoenix, AZ	Jun-21	Aug-21	Multi-Family (25+ Units)	All	$1,664 	2.80%	25.60%	1
Phoenix, AZ	Jul-21	Sep-21	Multi-Family (25+ Units)	All	$1,678 	0.80%	25.80%	1
Phoenix, AZ	Aug-21	Oct-21	Multi-Family (25+ Units)	All	$1,679 	0.10%	24.40%	1
Phoenix, AZ	Sep-21	Nov-21	Multi-Family (25+ Units)	All	$1,680 	0.10%	24.40%	1
Phoenix, AZ	Oct-21	Dec-21	Multi-Family (25+ Units)	All	$1,689 	0.50%	24.20%	1
Phoenix, AZ	Nov-21	Jan-22	Multi-Family (25+ Units)	All	$1,699 	0.60%	24.90%	1
Phoenix, AZ	Dec-21	Feb-22	Multi-Family (25+ Units)	All	$1,701 	0.10%	24.10%	1
Phoenix, AZ	Jan-22	Mar-22	Multi-Family (25+ Units)	All	$1,718 	1.00%	22.80%	1
Phoenix, AZ	Feb-22	Apr-22	Multi-Family (25+ Units)	All	$1,728 	0.60%	20.10%	1
Phoenix, AZ	Mar-22	May-22	Multi-Family (25+ Units)	All	$1,744 	0.90%	17.00%	1
Phoenix, AZ	Apr-22	Jun-22	Multi-Family (25+ Units)	All	$1,750 	0.30%	12.50%	1
Phoenix, AZ	May-22	Jul-22	Multi-Family (25+ Units)	All	$1,750 	0.00%	8.10%	1
Phoenix, AZ	Jun-22	Aug-22	Multi-Family (25+ Units)	All	$1,725 	-1.40%	3.70%	1
Phoenix, AZ	Jul-22	Sep-22	Multi-Family (25+ Units)	All	$1,700 	-1.40%	1.30%	1
Phoenix, AZ	Aug-22	Oct-22	Multi-Family (25+ Units)	All	$1,665 	-2.10%	-0.80%	1
Phoenix, AZ	Sep-22	Nov-22	Multi-Family (25+ Units)	All	$1,660 	-0.30%	-1.20%	1
Phoenix, AZ	Oct-22	Dec-22	Multi-Family (25+ Units)	All	$1,650 	-0.60%	-2.30%	1
Phoenix, AZ	Nov-22	Jan-23	Multi-Family (25+ Units)	All	$1,656 	0.40%	-2.50%	1
Phoenix, AZ	Dec-22	Feb-23	Multi-Family (25+ Units)	All	$1,650 	-0.40%	-3.00%	1
Phoenix, AZ	Jan-23	Mar-23	Multi-Family (25+ Units)	All	$1,653 	0.20%	-3.80%	1
Phoenix, AZ	Feb-23	Apr-23	Multi-Family (25+ Units)	All	$1,650 	-0.20%	-4.50%	1
Phoenix, AZ	Mar-23	May-23	Multi-Family (25+ Units)	All	$1,653 	0.20%	-5.20%	1
Phoenix, AZ	Apr-23	Jun-23	Multi-Family (25+ Units)	All	$1,645 	-0.50%	-6.00%	1
Phoenix, AZ	May-23	Jul-23	Multi-Family (25+ Units)	All	$1,633 	-0.70%	-6.70%	1
Phoenix, AZ	Jun-23	Aug-23	Multi-Family (25+ Units)	All	$1,613 	-1.20%	-6.50%	1
Phoenix, AZ	Jul-23	Sep-23	Multi-Family (25+ Units)	All	$1,600 	-0.80%	-5.90%	1
Phoenix, AZ	Aug-23	Oct-23	Multi-Family (25+ Units)	All	$1,588 	-0.70%	-4.60%	1
Phoenix, AZ	Sep-23	Nov-23	Multi-Family (25+ Units)	All	$1,580 	-0.50%	-4.80%	1
Phoenix, AZ	Oct-23	Dec-23	Multi-Family (25+ Units)	All	$1,585 	0.30%	-3.90%	1
Phoenix, AZ	Nov-23	Jan-24	Multi-Family (25+ Units)	All	$1,590 	0.30%	-4.00%	1
Phoenix, AZ	Dec-23	Feb-24	Multi-Family (25+ Units)	All	$1,595 	0.30%	-3.30%	1
Phoenix, AZ	Jan-24	Mar-24	Multi-Family (25+ Units)	All	$1,590 	-0.30%	-3.80%	1
Phoenix, AZ	Feb-24	Apr-24	Multi-Family (25+ Units)	All	$1,598 	0.50%	-3.20%	1
Phoenix, AZ	Mar-24	May-24	Multi-Family (25+ Units)	All	$1,604 	0.40%	-3.00%	1
Phoenix, AZ	Apr-24	Jun-24	Multi-Family (25+ Units)	All	$1,601 	-0.20%	-2.70%	1
Phoenix, AZ	May-24	Jul-24	Multi-Family (25+ Units)	All	$1,599 	-0.10%	-2.10%	1
Phoenix, AZ	Jun-24	Aug-24	Multi-Family (25+ Units)	All	$1,585 	-0.90%	-1.70%	1
Phoenix, AZ	Jul-24	Sep-24	Multi-Family (25+ Units)	All	$1,576 	-0.60%	-1.50%	1
Phoenix, AZ	Aug-24	Oct-24	Multi-Family (25+ Units)	All	$1,570 	-0.40%	-1.10%	1
Phoenix, AZ	Sep-24	Nov-24	Multi-Family (25+ Units)	All	$1,565 	-0.30%	-0.90%	1
Phoenix, AZ	Oct-24	Dec-24	Multi-Family (25+ Units)	All	$1,555 	-0.60%	-1.90%	1
Phoenix, AZ	Nov-24	Jan-25	Multi-Family (25+ Units)	All	$1,548 	-0.50%	-2.60%	1
Phoenix, AZ	Dec-24	Feb-25	Multi-Family (25+ Units)	All	$1,551 	0.20%	-2.80%	1
Phoenix, AZ	Jan-25	Mar-25	Multi-Family (25+ Units)	All	$1,554 	0.20%	-2.20%	1
Phoenix, AZ	Feb-25	Apr-25	Multi-Family (25+ Units)	All	$1,566 	0.80%	-2.00%	1
Phoenix, AZ	Mar-25	May-25	Multi-Family (25+ Units)	All	$1,580 	0.90%	-1.50%	1
Phoenix, AZ	Apr-25	Jun-25	Multi-Family (25+ Units)	All	$1,586 	0.40%	-0.90%	1
Phoenix, AZ	May-25	Jul-25	Multi-Family (25+ Units)	All	$1,579 	-0.40%	-1.30%	1
Phoenix, AZ	Jun-25	Aug-25	Multi-Family (25+ Units)	All	$1,593 	0.90%	0.50%	1
Pittsburgh, PA	Mar-19	May-19	Multi-Family (25+ Units)	All	$1,390 			1
Pittsburgh, PA	Apr-19	Jun-19	Multi-Family (25+ Units)	All	$1,425 	2.50%		1
Pittsburgh, PA	May-19	Jul-19	Multi-Family (25+ Units)	All	$1,385 	-2.80%		1
Pittsburgh, PA	Jun-19	Aug-19	Multi-Family (25+ Units)	All	$1,360 	-1.80%		1
Pittsburgh, PA	Jul-19	Sep-19	Multi-Family (25+ Units)	All	$1,318 	-3.10%		1
Pittsburgh, PA	Aug-19	Oct-19	Multi-Family (25+ Units)	All	$1,360 	3.20%		1
Pittsburgh, PA	Sep-19	Nov-19	Multi-Family (25+ Units)	All	$1,395 	2.60%		1
Pittsburgh, PA	Oct-19	Dec-19	Multi-Family (25+ Units)	All	$1,370 	-1.80%		1
Pittsburgh, PA	Nov-19	Jan-20	Multi-Family (25+ Units)	All	$1,324 	-3.40%		1
Pittsburgh, PA	Dec-19	Feb-20	Multi-Family (25+ Units)	All	$1,295 	-2.20%		1
Pittsburgh, PA	Jan-20	Mar-20	Multi-Family (25+ Units)	All	$1,285 	-0.80%		1
Pittsburgh, PA	Feb-20	Apr-20	Multi-Family (25+ Units)	All	$1,280 	-0.40%		1
Pittsburgh, PA	Mar-20	May-20	Multi-Family (25+ Units)	All	$1,260 	-1.60%	-9.40%	1
Pittsburgh, PA	Apr-20	Jun-20	Multi-Family (25+ Units)	All	$1,250 	-0.80%	-12.30%	1
Pittsburgh, PA	May-20	Jul-20	Multi-Family (25+ Units)	All	$1,250 	0.00%	-9.70%	1
Pittsburgh, PA	Jun-20	Aug-20	Multi-Family (25+ Units)	All	$1,252 	0.20%	-7.90%	1
Pittsburgh, PA	Jul-20	Sep-20	Multi-Family (25+ Units)	All	$1,244 	-0.60%	-5.60%	1
Pittsburgh, PA	Aug-20	Oct-20	Multi-Family (25+ Units)	All	$1,235 	-0.70%	-9.20%	1
Pittsburgh, PA	Sep-20	Nov-20	Multi-Family (25+ Units)	All	$1,265 	2.40%	-9.30%	1
Pittsburgh, PA	Oct-20	Dec-20	Multi-Family (25+ Units)	All	$1,325 	4.70%	-3.30%	1
Pittsburgh, PA	Nov-20	Jan-21	Multi-Family (25+ Units)	All	$1,330 	0.40%	0.50%	1
Pittsburgh, PA	Dec-20	Feb-21	Multi-Family (25+ Units)	All	$1,328 	-0.20%	2.50%	1
Pittsburgh, PA	Jan-21	Mar-21	Multi-Family (25+ Units)	All	$1,345 	1.30%	4.70%	1
Pittsburgh, PA	Feb-21	Apr-21	Multi-Family (25+ Units)	All	$1,376 	2.30%	7.50%	1
Pittsburgh, PA	Mar-21	May-21	Multi-Family (25+ Units)	All	$1,415 	2.90%	12.30%	1
Pittsburgh, PA	Apr-21	Jun-21	Multi-Family (25+ Units)	All	$1,415 	0.00%	13.20%	1
Pittsburgh, PA	May-21	Jul-21	Multi-Family (25+ Units)	All	$1,431 	1.10%	14.50%	1
Pittsburgh, PA	Jun-21	Aug-21	Multi-Family (25+ Units)	All	$1,429 	-0.10%	14.10%	1
Pittsburgh, PA	Jul-21	Sep-21	Multi-Family (25+ Units)	All	$1,474 	3.10%	18.40%	1
Pittsburgh, PA	Aug-21	Oct-21	Multi-Family (25+ Units)	All	$1,450 	-1.60%	17.40%	1
Pittsburgh, PA	Sep-21	Nov-21	Multi-Family (25+ Units)	All	$1,476 	1.80%	16.70%	1
Pittsburgh, PA	Oct-21	Dec-21	Multi-Family (25+ Units)	All	$1,490 	0.90%	12.50%	1
Pittsburgh, PA	Nov-21	Jan-22	Multi-Family (25+ Units)	All	$1,540 	3.40%	15.80%	1
Pittsburgh, PA	Dec-21	Feb-22	Multi-Family (25+ Units)	All	$1,519 	-1.40%	14.40%	1
Pittsburgh, PA	Jan-22	Mar-22	Multi-Family (25+ Units)	All	$1,480 	-2.60%	10.00%	1
Pittsburgh, PA	Feb-22	Apr-22	Multi-Family (25+ Units)	All	$1,450 	-2.00%	5.40%	1
Pittsburgh, PA	Mar-22	May-22	Multi-Family (25+ Units)	All	$1,500 	3.40%	6.00%	1
Pittsburgh, PA	Apr-22	Jun-22	Multi-Family (25+ Units)	All	$1,542 	2.80%	9.00%	1
Pittsburgh, PA	May-22	Jul-22	Multi-Family (25+ Units)	All	$1,540 	-0.10%	7.60%	1
Pittsburgh, PA	Jun-22	Aug-22	Multi-Family (25+ Units)	All	$1,525 	-1.00%	6.70%	1
Pittsburgh, PA	Jul-22	Sep-22	Multi-Family (25+ Units)	All	$1,530 	0.30%	3.80%	1
Pittsburgh, PA	Aug-22	Oct-22	Multi-Family (25+ Units)	All	$1,535 	0.30%	5.90%	1
Pittsburgh, PA	Sep-22	Nov-22	Multi-Family (25+ Units)	All	$1,518 	-1.10%	2.80%	1
Pittsburgh, PA	Oct-22	Dec-22	Multi-Family (25+ Units)	All	$1,497 	-1.40%	0.50%	1
Pittsburgh, PA	Nov-22	Jan-23	Multi-Family (25+ Units)	All	$1,485 	-0.80%	-3.60%	1
Pittsburgh, PA	Dec-22	Feb-23	Multi-Family (25+ Units)	All	$1,555 	4.70%	2.40%	1
Pittsburgh, PA	Jan-23	Mar-23	Multi-Family (25+ Units)	All	$1,585 	1.90%	7.10%	1
Pittsburgh, PA	Feb-23	Apr-23	Multi-Family (25+ Units)	All	$1,605 	1.30%	10.70%	1
Pittsburgh, PA	Mar-23	May-23	Multi-Family (25+ Units)	All	$1,605 	0.00%	7.00%	1
Pittsburgh, PA	Apr-23	Jun-23	Multi-Family (25+ Units)	All	$1,605 	0.00%	4.10%	1
Pittsburgh, PA	May-23	Jul-23	Multi-Family (25+ Units)	All	$1,615 	0.60%	4.90%	1
Pittsburgh, PA	Jun-23	Aug-23	Multi-Family (25+ Units)	All	$1,584 	-1.90%	3.90%	1
Pittsburgh, PA	Jul-23	Sep-23	Multi-Family (25+ Units)	All	$1,551 	-2.10%	1.40%	1
Pittsburgh, PA	Aug-23	Oct-23	Multi-Family (25+ Units)	All	$1,511 	-2.60%	-1.60%	1
Pittsburgh, PA	Sep-23	Nov-23	Multi-Family (25+ Units)	All	$1,523 	0.80%	0.30%	1
Pittsburgh, PA	Oct-23	Dec-23	Multi-Family (25+ Units)	All	$1,570 	3.10%	4.90%	1
Pittsburgh, PA	Nov-23	Jan-24	Multi-Family (25+ Units)	All	$1,615 	2.90%	8.80%	1
Pittsburgh, PA	Dec-23	Feb-24	Multi-Family (25+ Units)	All	$1,601 	-0.90%	2.90%	1
Pittsburgh, PA	Jan-24	Mar-24	Multi-Family (25+ Units)	All	$1,605 	0.30%	1.30%	1
Pittsburgh, PA	Feb-24	Apr-24	Multi-Family (25+ Units)	All	$1,586 	-1.20%	-1.20%	1
Pittsburgh, PA	Mar-24	May-24	Multi-Family (25+ Units)	All	$1,604 	1.10%	-0.10%	1
Pittsburgh, PA	Apr-24	Jun-24	Multi-Family (25+ Units)	All	$1,591 	-0.80%	-0.90%	1
Pittsburgh, PA	May-24	Jul-24	Multi-Family (25+ Units)	All	$1,575 	-1.00%	-2.50%	1
Pittsburgh, PA	Jun-24	Aug-24	Multi-Family (25+ Units)	All	$1,585 	0.60%	0.00%	1
Pittsburgh, PA	Jul-24	Sep-24	Multi-Family (25+ Units)	All	$1,575 	-0.60%	1.50%	1
Pittsburgh, PA	Aug-24	Oct-24	Multi-Family (25+ Units)	All	$1,586 	0.70%	4.90%	1
Pittsburgh, PA	Sep-24	Nov-24	Multi-Family (25+ Units)	All	$1,550 	-2.30%	1.70%	1
Pittsburgh, PA	Oct-24	Dec-24	Multi-Family (25+ Units)	All	$1,580 	2.00%	0.60%	1
Pittsburgh, PA	Nov-24	Jan-25	Multi-Family (25+ Units)	All	$1,580 	0.00%	-2.20%	1
Pittsburgh, PA	Dec-24	Feb-25	Multi-Family (25+ Units)	All	$1,602 	1.40%	0.10%	1
Pittsburgh, PA	Jan-25	Mar-25	Multi-Family (25+ Units)	All	$1,609 	0.40%	0.20%	1
Pittsburgh, PA	Feb-25	Apr-25	Multi-Family (25+ Units)	All	$1,643 	2.10%	3.60%	1
Pittsburgh, PA	Mar-25	May-25	Multi-Family (25+ Units)	All	$1,637 	-0.40%	2.10%	1
Pittsburgh, PA	Apr-25	Jun-25	Multi-Family (25+ Units)	All	$1,675 	2.40%	5.30%	1
Pittsburgh, PA	May-25	Jul-25	Multi-Family (25+ Units)	All	$1,695 	1.20%	7.70%	1
Pittsburgh, PA	Jun-25	Aug-25	Multi-Family (25+ Units)	All	$1,739 	2.60%	9.80%	1
Portland, OR	Mar-19	May-19	Multi-Family (25+ Units)	All	$1,558 			1
Portland, OR	Apr-19	Jun-19	Multi-Family (25+ Units)	All	$1,540 	-1.20%		1
Portland, OR	May-19	Jul-19	Multi-Family (25+ Units)	All	$1,525 	-0.90%		1
Portland, OR	Jun-19	Aug-19	Multi-Family (25+ Units)	All	$1,495 	-2.00%		1
Portland, OR	Jul-19	Sep-19	Multi-Family (25+ Units)	All	$1,476 	-1.30%		1
Portland, OR	Aug-19	Oct-19	Multi-Family (25+ Units)	All	$1,465 	-0.70%		1
Portland, OR	Sep-19	Nov-19	Multi-Family (25+ Units)	All	$1,450 	-1.00%		1
Portland, OR	Oct-19	Dec-19	Multi-Family (25+ Units)	All	$1,456 	0.40%		1
Portland, OR	Nov-19	Jan-20	Multi-Family (25+ Units)	All	$1,465 	0.60%		1
Portland, OR	Dec-19	Feb-20	Multi-Family (25+ Units)	All	$1,468 	0.20%		1
Portland, OR	Jan-20	Mar-20	Multi-Family (25+ Units)	All	$1,459 	-0.60%		1
Portland, OR	Feb-20	Apr-20	Multi-Family (25+ Units)	All	$1,450 	-0.60%		1
Portland, OR	Mar-20	May-20	Multi-Family (25+ Units)	All	$1,461 	0.80%	-6.20%	1
Portland, OR	Apr-20	Jun-20	Multi-Family (25+ Units)	All	$1,475 	1.00%	-4.20%	1
Portland, OR	May-20	Jul-20	Multi-Family (25+ Units)	All	$1,480 	0.30%	-3.00%	1
Portland, OR	Jun-20	Aug-20	Multi-Family (25+ Units)	All	$1,475 	-0.30%	-1.30%	1
Portland, OR	Jul-20	Sep-20	Multi-Family (25+ Units)	All	$1,470 	-0.30%	-0.40%	1
Portland, OR	Aug-20	Oct-20	Multi-Family (25+ Units)	All	$1,468 	-0.10%	0.20%	1
Portland, OR	Sep-20	Nov-20	Multi-Family (25+ Units)	All	$1,475 	0.50%	1.70%	1
Portland, OR	Oct-20	Dec-20	Multi-Family (25+ Units)	All	$1,475 	0.00%	1.30%	1
Portland, OR	Nov-20	Jan-21	Multi-Family (25+ Units)	All	$1,499 	1.60%	2.30%	1
Portland, OR	Dec-20	Feb-21	Multi-Family (25+ Units)	All	$1,525 	1.70%	3.90%	1
Portland, OR	Jan-21	Mar-21	Multi-Family (25+ Units)	All	$1,560 	2.30%	6.90%	1
Portland, OR	Feb-21	Apr-21	Multi-Family (25+ Units)	All	$1,596 	2.30%	10.10%	1
Portland, OR	Mar-21	May-21	Multi-Family (25+ Units)	All	$1,604 	0.50%	9.80%	1
Portland, OR	Apr-21	Jun-21	Multi-Family (25+ Units)	All	$1,641 	2.30%	11.30%	1
Portland, OR	May-21	Jul-21	Multi-Family (25+ Units)	All	$1,676 	2.10%	13.20%	1
Portland, OR	Jun-21	Aug-21	Multi-Family (25+ Units)	All	$1,699 	1.40%	15.20%	1
Portland, OR	Jul-21	Sep-21	Multi-Family (25+ Units)	All	$1,703 	0.20%	15.90%	1
Portland, OR	Aug-21	Oct-21	Multi-Family (25+ Units)	All	$1,698 	-0.30%	15.70%	1
Portland, OR	Sep-21	Nov-21	Multi-Family (25+ Units)	All	$1,705 	0.40%	15.60%	1
Portland, OR	Oct-21	Dec-21	Multi-Family (25+ Units)	All	$1,700 	-0.30%	15.30%	1
Portland, OR	Nov-21	Jan-22	Multi-Family (25+ Units)	All	$1,705 	0.30%	13.70%	1
